talent_id,hero_id,talent_level,talent_name,talent_cooldown,talent_desc
59,3,10,Suppression Pulse,0,"Fire a large area pulse from the Spear of Adun, dealing 250 damage and Blinding enemies for 4 seconds. Unlimited range."
60,3,10,Purifier Beam,0,"Target an enemy Hero with an orbital beam from the Spear of Adun, dealing 404 damage per second for 8 seconds. The beam will chase the target as they move. Unlimited range."
61,3,13,Templar\'s Zeal,0,Blade Dash cooldown recharges 100% faster while you are below 50% Health.
62,3,13,Triple Strike,0,Increases Twin Blades\'s number of Basic Attacks to 3 but increase its cooldown by 1 second..
63,3,13,Graviton Vortex,0,Phase Prism pulls and damages an additional enemy Hero near the first.
64,3,13,Phase Bulwark,0,"When Shield Overload activates, you take 40% less damage from Abilities for 4 seconds."
65,3,16,Zealot Charge,0,Increase Twin Blades\' charge distance by 100%.
66,3,16,Titan Killer,0,Twin Blades attacks against Heroes deal an additional 2.5% of the target\'s maximum Health in damage.
67,3,16,Psionic Wound,0,"Twin Blades final strike causes enemy Heroes to become Vulnerable for 2 seconds, increasing all damage taken by 25%."
68,3,16,Plasma Burn,0,"While Shield Overload is active, you deal 50 damage a second to nearby enemies."
69,3,20,Orbital Bombardment,0,Suppression Pulse gains an additional charge. There is a 10 second cooldown between uses.
70,3,20,Target Purified,0,"If the target of Purifier Beam dies, it automatically recasts on the nearest enemy Hero."
71,3,20,Force of Will,0,Increases Shield Overload\'s cooldown reduction from Basic Attacks to 6 seconds.
72,3,20,Nexus Blades,0,Basic Attacks deal 20% more damage and slow enemy Movement Speed by 20% for 1 second.
73,4,1,Block,0,"Every 5 seconds, you can Block a Basic Attack from an enemy Hero reducing its damage by 50%. Stores up to 2 charges."
74,4,1,Eternal Hunger,0,"Quest: Using Frostmourne Hungers on an enemy Hero permanently increases the Mana it restores by 4, up to 40. Reward: After hitting 10 Heroes with Frostmourne Hungers, also increase its damage bonus by 25%."
75,4,1,Frost Presence,0,Howling Blast\'s cooldown is reduced by 5 seconds when it hits an enemy Hero.
76,4,4,Frozen Wastes,0,Frozen Tempest Mana cost reduced by 4 per second.
77,4,4,Deathlord,0,Reduce Death Coil\'s cooldown by 2 seconds and increase its range by 25%.
78,4,4,Biting Cold,0,Frozen Tempest damage increased by 50%.
79,4,7,Rune Tap,0,Every 3rd Basic Attack heals you for 4% of your max Health.
80,4,7,Immortal Coil,0,"You gain the healing effect of Death Coil even when you use it on enemies. If you damage an enemy Hero with it, you also heal for an additional 100% of the damage dealt."
81,4,7,Icebound Fortitude,0,"Activate to reduce damage taken by 25% and reduce the duration of silences, stuns, slows, roots, and polymorphs agaisnt you by 75% for 3 seconds."
82,4,10,Army of the Dead,0,Summons Ghouls that last 15 seconds. Sacrifice Ghouls to heal for 586 Health.
83,4,10,Summon Sindragosa,0,Deals 504 damage and slows enemies by 60% for 2 seconds. Also disables non-Heroic enemies and Structures for 20 seconds.
84,4,13,Trail of Frost,0,Increases Howling Blast\'s range by 30% and causes it to also root enemies between you and the target for 1.25 seconds.
85,4,13,Frost Strike,0,Reduces Frostmourne Hungers\' cooldown by 2 seconds. Frostmourne Hungers also slows the enemy by 40% for 1.5 seconds.
86,4,13,Frigid Winds,0,"Frozen Tempest reduces enemy Attack Speed by -200% per second, stacking up to 40%."
87,4,16,Remorseless Winter,0,Enemy Heroes that remain within Frozen Tempest for 3 seconds are rooted for 1.75 seconds. This effect only happen once every 10 seconds.
88,4,16,Frostmourne Feeds,0,Increased application to your next 2 Basic Attacks.
89,4,16,Embrace Death,0,Death Coil deals 10% more damage for each 10% of life you are missing.
90,4,20,Legion of Northrend,0,3 additional Ghouls are created. Ghouls heal for an additional 50% and last 5 seconds longer.
91,4,20,Absolute Zero,0,"Sindragosa flies twice as far. Enemy Heroes are rooted for 2 seconds, and then slowed by 60% for 3.5 seconds."
92,4,20,Death\'s Advance,0,Passively increases your Movement Speed by 10%. Activate to increase this bonus to 30% for 3 seconds.
93,4,20,Anti-Magic Shield,0,"Activate to reduce damage taken from Abilities by 100% for 3 seconds, and heal yourself for 25% of the damage prevented."
94,5,1,Taste for Blood,0,"Quest:ÿEnemies that die within 1.5 seconds of being hit by Globe of Annihilation increase its damage by 2, up to 500. Reward:ÿNone"
95,5,1,Sieging Wrath,0,"Quest:ÿEvery time Globe of Annihilation hits an Hero, its damage is increased by 4 up to 100. Reward:ÿAfter hitting 25 Heroes, the range of Globe of Annihilation is increased by 33% and its damage is increased by an additional 100."
96,5,1,Master of Destruction,0,Reduces the Mana cost from 16 to 10 per second. Every 1.5 seconds spent channeling increases the range by 10% up to a maximum of 30%.
97,5,4,Gluttony,0,All Shall Burn heals you for 25% of the damage dealt.
98,5,4,Army of Hell,0,Increases Demon Warrior\'s damage by 20% and reduces their Mana cost by 20.
99,5,4,Hellish Hirelings,0,The damage bonus from General of Hell is doubled on Mercenaries.
100,5,4,Sin\'s Grasp,100,"Activate to curse an enemy Hero, dealing 543 (258 + 4% per level) damage over 8 seconds. Minion kills reduce this cooldown by 10 seconds. Can be cast while channeling All Shall Burn. 120 Second Cooldown."
101,5,7,Infernal Globe,0,Globe of Annihilation\'s cast time is decreased by 40% and its missile speed is increased by 40%.
102,5,7,Bound Minion,0,"Using General of Hell on a Minion grants them 75 Armor against non-Heroic sources, decreasing damage they take from them by 75% and increases the damage they deal to non-Heroic targets by 100%. Lasts 30 seconds."
103,5,7,Gluttonous Ward,0,Activate to place a ward on the ground that restores 3% of your maximum Health and Mana every second for 10 seconds. 45 second cooldown.
104,5,7,March of Sin,0,Increases Azmodan\'s movement speed while channeling All Shall Burn to 80% of normal speed.
105,5,10,Demonic Invasion,100,"Rain a small army of Demonic Grunts down on enemies, dealing 121 (58 + 4% per level) damage per impact. Demon Grunts deal 60 (29 + 4% per level) damage and have 800 (380 + 4% per level) health. Damage is doubled versus non-Heroic targets."
106,5,10,Black Pool,60,"Create a pool that empowers Azmodan, his Demons, and allied Minions, increasing their attack and ability damage by 75%. Pools last 5 seconds. 20 second Cooldown per charge, max 2 charges."
107,5,13,Hellforged Armor,0,"Demon Warriors deal 10 damage to nearby enemies every second and are granted 50 Armor against Non-Heroic sources, decreasing the damage they take by 50%."
108,5,13,Hedonism,0,Reduces Globe of Annihilation\'s Mana cost by 30.
109,5,13,Infused Power,0,"All Shall Burn gains an additional charge level, increasing its maximum damage by 40%."
110,5,16,Battleborn,0,"If Globe of Annihilation hits an enemy, a Demon Warrior is summoned at the impact point."
111,5,16,Demonic Smite,0,"Every 7.5 seconds, the Demon Lieutenant will blast enemy Non-Heroic units with demonic energy, dealing 411 damage."
112,5,16,Sin for Sin,0,Activate to deal 10% of target enemy Hero\'s Max Health and heal for twice that amount. Can be cast while channeling All Shall Burn. 45 second Cooldown.
113,5,20,Perishing Flame,0,"When the Grunts die they explode, dealing 68 damage to nearby enemies."
114,5,20,Fifth Circle,0,Black Pool makes Basic Attacks and Abilities slow enemies Attack and Movement Speeds by 40% for 3 seconds.
115,5,20,Bolt of the Storm,70,Activate to teleport to a nearby location.
116,5,20,Forced Recruitment,0,Reduces General of Hell\'s cooldown by 10 seconds and gains an additional charge.
117,6,1,Dream Shot,0,"Reduces the cooldown of Arcane Flare by 1 second for each enemy Hero hit by the outer radius, and 3 seconds for each hit by the inner radius."
118,6,1,Unfurling Spray,0,Increases Soothing Mist\'s range by 20%.
119,6,1,Hyper Shift,0,Each allied Hero healed by Soothing Mist reduces the cooldown of Phase Shift by 2 seconds.
120,6,1,Bribe,0,"Enemy Minions or captured Mercenaries killed near your Hero grant you stacks of Bribe. Use 20 stacks to bribe target Mercenary, instantly defeating them. Does not work on Bosses. Maximum stacks available: 50.Current number of Bribe stacks: 1"
121,6,4,Arcane Barrage,0,Increases the range of Arcane Flare by 50%.
122,6,4,Unstable Anomaly,0,"When Polymorph ends, deal 250 (119 + 4% per level) damage to the target and all nearby enemies."
123,6,4,Manic Pixie,0,"When Soothing Mist heals an ally with Pixie Dust on them, they heal for an additional 228 (119 + 4% per level) over 4 seconds."
124,6,4,Peekaboo!,0,Phase Shifting to an ally reveals a large area around them and all enemies in it for 6 seconds.
125,6,7,Mistified,0,Reduces the cooldown of Soothing Mist by 0.5 second every time you cast a Basic Ability.
126,6,7,Phase Shield,0,"After finishing the teleport, the target of your Phase Shift gains a 877 (416 + 4% per level) point Shield for 20 seconds."
127,6,7,Cleanse,0,Activate to make target ally Unstoppable for 1 second. Cannot be cast on yourself.
128,6,10,Blink Heal,0,"Teleport to a nearby ally, healing them for 447 (213 + 4% per level). Can store 2 charges."
129,6,10,Emerald Wind,0,"reate an expanding nova of wind, dealing 699 (332 + 4% per level) damage and pushing enemies away. Also passively increases the healing of Soothing Mist by 8%."
130,6,13,Sticky Flare,0,Targets are slowed by 40% Movement Speed for 2 seconds.
131,6,13,Pixie Boost,0,"Pixie Dust gives 50% bonus Move Speed, decaying to 20% over 1.5 seconds."
132,6,13,Shield Dust,0,Pixie Dust reduces Ability damage taken by 40%.
133,6,13,Ice Block,0,Activate to place yourself in Stasis and gain Invulnerability for 3 seconds.
134,6,16,Greater Polymorph,0,Increases the duration of Polymorph by 0.75 second.
135,6,16,Critterize,0,"Polymorph makes enemies Vulnerable, increasing the damage they take by 25%."
136,6,16,Bouncy Dust,0,Pixie Dust bounces to another nearby ally upon impact.
137,6,16,Hardened Focus,0,"While above 80% life, your Basic Ability cooldowns regenerate 50% faster."
138,6,20,Double Wyrmhole,0,Blink Heal can be cast a second time on a different target within 2 seconds without consuming a charge.
139,6,20,Continuous Winds,0,Emerald Wind releases two additional novas that deal 25% damage.
140,6,20,Revitalizing Mist,0,Healing another Hero with Soothing Mist increases their healing received from Soothing Mist by 25% for 6 seconds. Stacks 3 times.
141,6,20,Storm Shield,0,Activate to give all nearby allied Heroes a Shield for 20% of their max Health for 3 seconds.
142,7,1,Invigoration,0,"If Hamstring hits a Hero, half of the Mana cost is refunded and the cooldown is reduced by 1 second."
143,7,1,Block,0,"Every 5 seconds, gain 75 Physical Armor against the next Hero Basic Attack, reducing the damage taken by 75%. Stores up to 2 charges."
144,7,1,Chop Meat,0,Hamstring does 100% more damage to Minions and Mercenaries.
145,7,1,Abattoir,0,"Decreases the amount of Fresh Meat lost on death from 10 to 5. Once you complete the Fresh Meat quest, Heroes continue to drop Meat that grants Attack Damage. This bonus Meat is not lost on death."
146,7,4,Flail Axe,0,Increases the length of Hamstring by 40%.
147,7,4,Unrelenting Pursuit,0,Reduces the cooldown of Ruthless Onslaught by 33% upon impact.
148,7,4,Cheap Shot,0,"Hamstring does 100% more damage to targets affected by a slow, root, or stun."
149,7,7,Insatiable Blade,0,"Increases Butcher\'s Brand\'s healing from 75% to 100% of your Basic Attack damage. While facing the branded enemy, your Movement Speed is increased by 20%."
150,7,7,Victuals,0,"Every time a nearby enemy minion dies, you regain 4% of your maximum Health."
151,7,7,Meat Shield,0,"When Ruthless Onslaught impacts an enemy Hero, gain 50 Spell Armor for 2.5 seconds, reducing Ability damage taken by 50%."
152,7,10,Furnace Blast,60,"After a 3 second delay, fire explodes around you dealing 1096 (520 + 4% per level) damage to enemies.Can be cast while using Ruthless Onslaught."
153,7,10,Lamb to the Slaughter,80,Throw a hitching post that attaches to the nearest enemy Hero after a 1 second delay. This deals 375 (178 + 4% per level) damage and causes the enemy to be chained to the post and Silenced for 3 seconds.
154,7,13,Cleaver,0,Basic Attack deal 35% of your Basic Attack Damage in an area around the target.
155,7,13,Savage Charge,0,Ruthless Onslaught deals bonus damage to Heroes equal to 10% of their maximum Health.
156,7,13,Brutal Strike,0,"After using Hamstring, your next 3 Basic Attacks within 5 seconds deal an additional 15% damage."
157,7,16,Crippling Slam,0,"Hamstring\'s slow no longer fades out, and the duration is increased by 25%."
158,7,16,Enraged,25,"Receiving damage that reduces you below 50% of your maximum Health causes you to become Enraged for 10 seconds. While Enraged, you gain 40% Attack Speed and 25 Armor, reducing damage taken by 25%."
159,7,16,Blood Frenzy,0,"Basic Attacks against enemy Heroes increase your Attack and Movement Speed by 5% for 3 seconds, stacking up to 5 times."
160,7,20,Fires of Hell,0,Furnace Blast explodes a second time 3 seconds after the initial explosion.
161,7,20,Slaughterhouse,0,Lamb to the Slaughter now chains all enemy Heroes in range.
162,7,20,Nexus Blades,0,Basic attacks deal 20% more damage and slow the target for 1 second.
163,7,20,Bolt of the Storm,70,Activate to teleport to a nearby location.
164,8,1,Accumulating Fire,0,"Quest: Everytime you set a Hero on fire with Breath of Fire, increase its damage over time by 2%, up to 60%. Reward: After igniting 30 Heroes, you gain Resistant for 1 second per Hero set on fire, reducing damage taken by 25%."
165,8,1,Grounding Brew,0,Fortifying Brew reduces all incoming Ability Damage by 30% while drinking.
166,8,1,Freshest Ingredients,0,"Quest: Gathering a Regeneration Globe increases your Health Regeneration by 1 per second, up to 30. Reward: After gathering 30 Regeneration Globes, 50% of the Shield from Fortifying Brew persists indefinitely after drinking."
167,8,1,Elusive Brawler,20,Activate to evade enemy Basic Attacks for 2 seconds. Your Basic Attacks reduce this cooldown by 3 seconds.
168,8,4,Deadly Strike,0,"Flying Kick no longer costs Brew. Additionally, its damage is increased by 100% while you have Shields from Fortifying Brew."
169,8,4,Keg Toss,0,"Quest: Everytime Keg Smash hits a Hero, increase its damage by 3, up to 60. Reward: After hitting 20 Heroes, increase its range by 125% and gain an additional charge."
170,8,4,Ring of Fire,0,"After using Breath of Fire, ignite in a fiery aura, dealing 114 (55 + 4% per level) damage every second to nearby enemies for 3 seconds."
171,8,7,Brewmaster\'s Balance,0,"While at or below 50 Brew, gain 20% Movement Speed. While at or above 50 Brew, regenerate an additional 40 (19 + 4% per level) Health per second."
172,8,7,Bolder Flavor,0,"Fortifying Brew instantly Shields you for 697 (331 + 4% per level). Additionally, Shields persists for 1 extra second after you stop drinking."
173,8,7,Refreshing Elixir,0,"Increases regeneration effects and all healing received by 30%, or by 60% while drinking Fortifying Brew."
174,8,10,Wandering Keg,70,"Roll around inside an Unstoppable barrel, dealing 130 (62 + 4% per level) damage to enemies in the way and knocking them back. Lasts for 5 seconds."
175,8,10,"Storm, Earth, Fire",100,"Split into three elemental spirits for 12.15 seconds, each with 75% of your maximum Health and a unique ability. If all three spirits are killed, Chen will die as well. Storm can grant your spirits Movement Speed. Earth can leap to an area and slow enemies. Fire can grant your spirits Attack Speed."
176,8,13,Pressure Point,0,"Flying Kick slows the target enemy by 35% for 1 second, or by 70% if they\'re soaked in Brew."
177,8,13,A Touch of Honey,0,Increase the slow from Keg Smash to 40%.
178,8,13,Withering Flames,0,Setting an enemy Hero on fire reduces their Ability Power by 25% for 3 seconds.
179,8,16,Flying Leap,0,Increases Flying Kick\'s range by 20%.
180,8,16,Another Round,0,"After hitting an enemy Hero with Keg Smash, the cooldown of your next Basic Ability will be reduced by 3 seconds."
181,8,16,Enough to Share,0,Fortifying Brew also Shields nearby allied Heroes for 119 (57 + 4% per level) per second.
182,8,20,Untapped Potential,0,Wandering Keg increases Movement Speed by 25% and reduces damage taken by 50%.
183,8,20,Elemental Conduit,0,Increases the spirits\' Health to 100% of your maximum Health and empowers their abilities. Storm can grant your spirits Unstoppable. Earth\'s leap cooldown is reduced by 3 seconds. Fire grants Attack Speed as long as it is alive.
184,8,20,Purifying Brew,5,The next Stun or Silence used against you has its duration reduced by 75% and resets the cooldown of Fortifying Brew. Can only trigger once every 10 seconds.
185,8,20,Stormstout Secret Recipe,0,Heal for 1.5% of your maximum Health every time your Basic Abilities hit an enemy Hero.
186,9,1,Surging Dash,0,Increases Surging Fist range and speed by 25%.
187,9,1,Blazing Bulwark,0,"Consuming Blaze grants youÿ??? stack of Block when you hit an enemy Hero, up to 10. Block reduces damage taken from enemy Basic Attacks by 50%."
188,9,1,Fuel for the Flame,0,Gathering a Regeneration Globe increases your next Consuming Blaze heal by 50%.
189,9,4,Runed Gauntlet,0,Rune Bomb increases your next Basic Attack by 75%.
190,9,4,Rollback,0,"Rune Bomb now returns to you, damaging enemies in its path."
191,9,4,Seared Flesh,0,Every third consecutive Basic Attack against the same target deals 75% bonus damage.
192,9,7,Power Surge,0,Reduces the initial delay of Surging Fist by 50% and it is 100% wider.
193,9,7,Fire Eater,0,Basic Attacks against targets inflicted with Consuming Blaze heal you for 50% of the damage dealt.
194,9,7,I AM Hurrying!,0,"Increases the duration of Gall\'s ""Hurry Up, Oaf!"" by 1.5 second and it no longer fades over time."
195,9,10,Hammer of Twilight,0,"Passively increases Basic Attack damage by 25%. Activate to swing the Hammer to deal 377 (164 + 4.5% per level) damage, push enemies away, and stun for 0.75 seconds."
196,9,10,Upheaval,0,"After 1 second pull enemies towards your direction, slowing them by 25% for 3 seconds and dealing 220 (104 + 4% per level) damage."
197,9,13,Runic Feedback,0,Gall\'s Runic Blast reduces your Rune Bomb cooldown by 1 second per enemy hit.
198,9,13,Surge of Stamina,0,"After using Surging Fist, the duration of silences, stuns, slows, roots, and polymorphs applied to you are reduced by 50% for 5 seconds."
199,9,13,Molten Block,0,"Activate to place yourself in Stasis and gain Invulnerability for 3 seconds, damaging nearby enemies for 202 (96 + 4% per level) damage per second."
200,9,16,Twilight Veil,0,Consuming Blaze reduces damage taken from Abilities by 50% for 2 seconds per enemy Hero hit.
201,9,16,Frenzied Fists,0,"If Surging Fist hits an enemy Hero, your Attack Speed is increased by 100% for 4 seconds."
202,9,16,Crippling Blow,0,Enemies hit by Surging Fist are slowed by 90% for 1.25 seconds.
203,9,20,C\'thun\'s Gift,0,Your Basic Attack becomes ranged and slows targets by 20% for 2 seconds.
204,9,20,Favor of the Old Gods,0,"Upheaval grants you Resistant, reducing your damage taken by 50% for 5 seconds."
205,9,20,The Will Of Gall,0,Gall can activate Will of Gall to make you Unstoppable for 2 seconds.
206,10,1,Compounding Aether,0,Reward:ÿAfter hitting 25 Heroes with Sand Blast increase its damage by 100.
207,10,1,Deep Breathing,0,"Quest:ÿEvery time Dragon\'s Breath hits a Hero increase its damage by 2, up to 50. Reward:ÿAfter hitting 25 Heroes, increase its damage by an additional 150 and also increase your sight radius by 100%."
208,10,1,Timewalker\'s Pursuit,25,"Activate to reveal a targeted area for 2 Seconds. Enemies are revealed for 4 Seconds. Quest:ÿGathering a Regeneration Globe increases your Mana Regeneration by 0.1, up to 1.5. Reward:ÿAfter gathering 15 Globes you also gain 5% Ability Power."
209,10,2,Piercing Sands,0,Sand Blast will now hit the first two Heroes in its path.
210,10,2,Bronze Talons,0,Increases your Basic Attack range by 35%. Using Sand Blast increases the damage of your next Basic Attack by 250%.
211,10,2,Enveloping Assault,0,Increases Dragon\'s Breath\'s radius by 25%.
212,10,5,Mobius Loop,0,"Reduces Dragon\'s Breath\'s Mana cost and cooldown by 50%, but also reduces its damage by 25%."
213,10,5,Dragon\'s Eye,0,Dragon\'s Breath does 25% more damage to enemies in the center.
214,10,5,Chrono Sickness,0,"Reduce Time Trap\'s cooldown and Mana cost by 50%. After the Stasis ends, the enemy is also slowed by 50% for 4 seconds."
215,10,8,Slowing Sands,5,"Place a sand vortex that greatly slows enemies inside it. The longer it is active the more it slows, up to 50% after 5 seconds."
216,10,8,Temporal Loop,75,"Choose an enemy Hero. After 3 seconds, they will teleport back to the location where you cast Temporal Loop on them."
217,10,11,Bye Bye!,0,"Reduces the cast time of your Hearthstone by 75%, and it is not interrupted by taking damage."
218,10,11,Reaching through Time,0,Increases Sand Blast and Dragon?s Breath\'s range by 15%.
219,10,11,Time Out,60,Activate to place yourself in Stasis and gain Invulnerability for up to 7 seconds. Can be reactivated to end the effect early.
220,10,14,Shifting Sands,0,"Hitting an enemy Hero with Sand Blast increases your Ability Power by 8% for the next 10 seconds. This bonus can be stacked up to 40%, and the duration is refreshed whenever you damage enemy Heroes with Sand Blast."
221,10,14,Fast Forward,0,"If Sand Blast travels at least 75% of its base distance and hits a Hero, its cooldown is reduced to 0.75 seconds."
222,10,14,Quantum Overdrive,30,Activate to increase Ability Power by 20% for 10 seconds.
223,10,18,Pocket of Time,0,Removes Slowing Sands Mana cost and increases the slow from 50% to 80%.
224,10,18,Loophole,0,Temporal Loop hits all enemy Heroes near your initial target.
225,10,18,Past and Future Me,0,"After casting Sand Blast, leave an echo of yourself behind. The next time you cast Sand Blast, the echo also casts an untalented Sand Blast that does 40% damage."
226,10,18,Andorhal Anomaly,0,"You gain 3 charges of Time Trap, and can have 3 active at once. When your cooldown finishes, you gain 3 charges at once."
227,11,1,Enduring Swarm,0,"While active, Dark Swarm reduces damage taken from Spells by 60%."
228,11,1,Primal Aggression,0,Dark Swarm duration increased by 0.5 seconds and it deals 90% bonus damage to Minions and Mercenaries.
229,11,1,Enhanced Agility,0,"Quest:ÿEach time you collect 50 Essence, permanently increase your Movement Speed by 1%, up to 10%."
230,11,1,Tissue Regeneration,0,"Quest:ÿEach time you collect 50 Essence, permanently increase your Health Regeneration by 5, up to 50."
